dataset,criteria,metric,model,error,detection,repair,test_repaired,fairness_impact,accuracy_impact
adult,sex/race,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,positive,positive
adult,sex/race,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,positive,positive
adult,sex/race,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,positive,positive
adult,sex/race,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,negative,positive
adult,sex/race,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,negative,insignificant
adult,sex/race,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,negative,insignificant
adult,sex/race,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,insignificant,positive
adult,sex/race,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,positive,positive
adult,sex/race,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,positive,positive
folktables,sex/rac1p,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,negative,positive
folktables,sex/rac1p,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,negative,positive
folktables,sex/rac1p,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,negative,positive
folktables,sex/rac1p,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,insignificant,positive
folktables,sex/rac1p,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,insignificant,positive
folktables,sex/rac1p,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,insignificant,positive
folktables,sex/rac1p,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,negative,positive
folktables,sex/rac1p,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,negative,positive
folktables,sex/rac1p,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,negative,positive
heart,gender/age,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,insignificant,positive
heart,gender/age,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,insignificant,positive
heart,gender/age,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,insignificant,positive
