dataset,criteria,metric,model,error,detection,repair,test_repaired,fairness_impact,accuracy_impact
adult,sex/race,equal_opportunity,logistic_regression,missing_values,,impute_mean_mode,True,negative,negative
adult,sex/race,equal_opportunity,logistic_regression,missing_values,,impute_mean_dummy,True,negative,negative
adult,sex/race,equal_opportunity,knn_classification,missing_values,,impute_mean_mode,True,insignificant,negative
adult,sex/race,equal_opportunity,knn_classification,missing_values,,impute_mean_dummy,True,insignificant,insignificant
adult,sex/race,equal_opportunity,XGBoost,missing_values,,impute_mean_mode,True,positive,negative
adult,sex/race,predictive_parity,logistic_regression,missing_values,,impute_mean_mode,True,positive,negative
adult,sex/race,predictive_parity,logistic_regression,missing_values,,impute_mean_dummy,True,positive,negative
adult,sex/race,predictive_parity,knn_classification,missing_values,,impute_mean_mode,True,insignificant,negative
adult,sex/race,predictive_parity,knn_classification,missing_values,,impute_mean_dummy,True,insignificant,insignificant
adult,sex/race,predictive_parity,XGBoost,missing_values,,impute_mean_mode,True,negative,negative
