dataset,criteria,metric,model,error,detection,repair,test_repaired,fairness_impact,accuracy_impact
adult,sex,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,insignificant,positive
adult,sex,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,insignificant,positive
adult,sex,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,insignificant,positive
adult,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,negative,positive
adult,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,negative,insignificant
adult,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,negative,insignificant
adult,sex,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,negative,positive
adult,sex,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,insignificant,positive
adult,sex,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,insignificant,positive
adult,race,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,negative,positive
adult,race,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,negative,insignificant
adult,race,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,negative,insignificant
adult,race,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,positive,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,negative,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,insignificant,positive
german,age,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,positive,positive
german,age,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,insignificant,positive
german,age,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,insignificant,positive
german,age,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,positive,positive
german,age,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,insignificant,positive
german,age,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,insignificant,positive
heart,gender,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,negative,positive
heart,gender,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,negative,positive
heart,gender,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,negative,positive
heart,gender,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,negative,positive
heart,gender,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,negative,insignificant
heart,gender,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,negative,insignificant
heart,gender,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,insignificant,positive
heart,gender,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,insignificant,positive
heart,gender,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,insignificant,positive
adult,sex,equal_opportunity,knn_classification,outliers,SD,impute__mean_dummy,True,insignificant,positive
adult,sex,equal_opportunity,knn_classification,outliers,SD,impute__mode_dummy,True,insignificant,positive
adult,sex,equal_opportunity,knn_classification,outliers,SD,impute__median_dummy,True,insignificant,positive
adult,sex,equal_opportunity,knn_classification,outliers,IQR,impute__mean_dummy,True,negative,positive
adult,sex,equal_opportunity,knn_classification,outliers,IQR,impute__mode_dummy,True,negative,insignificant
adult,sex,equal_opportunity,knn_classification,outliers,IQR,impute__median_dummy,True,negative,positive
adult,sex,equal_opportunity,knn_classification,outliers,IF,impute__mean_dummy,True,negative,positive
adult,sex,equal_opportunity,knn_classification,outliers,IF,impute__mode_dummy,True,insignificant,positive
adult,sex,equal_opportunity,knn_classification,outliers,IF,impute__median_dummy,True,insignificant,positive
adult,race,equal_opportunity,knn_classification,outliers,SD,impute__mean_dummy,True,negative,positive
adult,race,equal_opportunity,knn_classification,outliers,SD,impute__mode_dummy,True,insignificant,positive
adult,race,equal_opportunity,knn_classification,outliers,SD,impute__median_dummy,True,insignificant,positive
adult,race,equal_opportunity,knn_classification,outliers,IQR,impute__mean_dummy,True,negative,positive
adult,race,equal_opportunity,knn_classification,outliers,IQR,impute__mode_dummy,True,negative,insignificant
adult,race,equal_opportunity,knn_classification,outliers,IQR,impute__median_dummy,True,negative,positive
adult,race,equal_opportunity,knn_classification,outliers,IF,impute__mean_dummy,True,negative,positive
adult,race,equal_opportunity,knn_classification,outliers,IF,impute__mode_dummy,True,insignificant,positive
adult,race,equal_opportunity,knn_classification,outliers,IF,impute__median_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,knn_classification,outliers,SD,impute__mean_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,knn_classification,outliers,SD,impute__mode_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,knn_classification,outliers,SD,impute__median_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,knn_classification,outliers,IQR,impute__mean_dummy,True,insignificant,insignificant
folktables,sex,equal_opportunity,knn_classification,outliers,IQR,impute__mode_dummy,True,insignificant,insignificant
folktables,sex,equal_opportunity,knn_classification,outliers,IQR,impute__median_dummy,True,insignificant,insignificant
folktables,sex,equal_opportunity,knn_classification,outliers,IF,impute__mean_dummy,True,negative,positive
folktables,sex,equal_opportunity,knn_classification,outliers,IF,impute__mode_dummy,True,insignificant,positive
