dataset,criteria,metric,model,error,detection,repair,test_repaired,fairness_impact,accuracy_impact
adult,sex,demographic_parity,logistic_regression,outliers,SD,impute_mean_dummy,True,positive,negative
adult,sex,demographic_parity,logistic_regression,outliers,SD,impute_mode_dummy,True,positive,negative
adult,sex,demographic_parity,logistic_regression,outliers,SD,impute_median_dummy,True,positive,negative
adult,sex,demographic_parity,logistic_regression,outliers,IQR,impute_mean_dummy,True,positive,negative
adult,sex,demographic_parity,logistic_regression,outliers,IQR,impute_mode_dummy,True,positive,negative
adult,sex,demographic_parity,logistic_regression,outliers,IQR,impute_median_dummy,True,positive,negative
adult,sex,demographic_parity,logistic_regression,outliers,IF,impute_mean_dummy,True,positive,negative
adult,sex,demographic_parity,logistic_regression,outliers,IF,impute_mode_dummy,True,positive,negative
adult,sex,demographic_parity,logistic_regression,outliers,IF,impute_median_dummy,True,positive,negative
adult,race,demographic_parity,logistic_regression,outliers,SD,impute_mean_dummy,True,positive,negative
adult,race,demographic_parity,logistic_regression,outliers,SD,impute_mode_dummy,True,positive,negative
adult,race,demographic_parity,logistic_regression,outliers,SD,impute_median_dummy,True,positive,negative
adult,race,demographic_parity,logistic_regression,outliers,IQR,impute_mean_dummy,True,negative,negative
adult,race,demographic_parity,logistic_regression,outliers,IQR,impute_mode_dummy,True,negative,negative
adult,race,demographic_parity,logistic_regression,outliers,IQR,impute_median_dummy,True,negative,negative
adult,race,demographic_parity,logistic_regression,outliers,IF,impute_mean_dummy,True,positive,negative
adult,race,demographic_parity,logistic_regression,outliers,IF,impute_mode_dummy,True,positive,negative
adult,race,demographic_parity,logistic_regression,outliers,IF,impute_median_dummy,True,positive,negative
folktables,sex,demographic_parity,logistic_regression,outliers,SD,impute_mean_dummy,True,insignificant,positive
folktables,sex,demographic_parity,logistic_regression,outliers,SD,impute_mode_dummy,True,insignificant,positive
folktables,sex,demographic_parity,logistic_regression,outliers,SD,impute_median_dummy,True,insignificant,positive
folktables,sex,demographic_parity,logistic_regression,outliers,IQR,impute_mean_dummy,True,positive,negative
folktables,sex,demographic_parity,logistic_regression,outliers,IQR,impute_mode_dummy,True,positive,negative
folktables,sex,demographic_parity,logistic_regression,outliers,IQR,impute_median_dummy,True,positive,negative
folktables,sex,demographic_parity,logistic_regression,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,logistic_regression,outliers,IF,impute_mode_dummy,True,insignificant,positive
folktables,sex,demographic_parity,logistic_regression,outliers,IF,impute_median_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,logistic_regression,outliers,SD,impute_mean_dummy,True,insignificant,positive
folktables,rac1p,demographic_parity,logistic_regression,outliers,SD,impute_mode_dummy,True,insignificant,positive
folktables,rac1p,demographic_parity,logistic_regression,outliers,SD,impute_median_dummy,True,insignificant,positive
folktables,rac1p,demographic_parity,logistic_regression,outliers,IQR,impute_mean_dummy,True,insignificant,negative
folktables,rac1p,demographic_parity,logistic_regression,outliers,IQR,impute_mode_dummy,True,insignificant,negative
folktables,rac1p,demographic_parity,logistic_regression,outliers,IQR,impute_median_dummy,True,insignificant,negative
folktables,rac1p,demographic_parity,logistic_regression,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,logistic_regression,outliers,IF,impute_mode_dummy,True,insignificant,positive
folktables,rac1p,demographic_parity,logistic_regression,outliers,IF,impute_median_dummy,True,insignificant,insignificant
credit,age,demographic_parity,logistic_regression,outliers,SD,impute_mean_dummy,True,negative,insignificant
credit,age,demographic_parity,logistic_regression,outliers,SD,impute_mode_dummy,True,negative,insignificant
credit,age,demographic_parity,logistic_regression,outliers,SD,impute_median_dummy,True,negative,insignificant
credit,age,demographic_parity,logistic_regression,outliers,IQR,impute_mean_dummy,True,negative,negative
credit,age,demographic_parity,logistic_regression,outliers,IQR,impute_mode_dummy,True,negative,negative
credit,age,demographic_parity,logistic_regression,outliers,IQR,impute_median_dummy,True,negative,negative
credit,age,demographic_parity,logistic_regression,outliers,IF,impute_mean_dummy,True,negative,negative
credit,age,demographic_parity,logistic_regression,outliers,IF,impute_mode_dummy,True,negative,negative
credit,age,demographic_parity,logistic_regression,outliers,IF,impute_median_dummy,True,negative,negative
german,age,demographic_parity,logistic_regression,outliers,SD,impute_mean_dummy,True,insignificant,insignificant
german,age,demographic_parity,logistic_regression,outliers,SD,impute_mode_dummy,True,insignificant,insignificant
german,age,demographic_parity,logistic_regression,outliers,SD,impute_median_dummy,True,insignificant,insignificant
german,age,demographic_parity,logistic_regression,outliers,IQR,impute_mean_dummy,True,insignificant,negative
german,age,demographic_parity,logistic_regression,outliers,IQR,impute_mode_dummy,True,insignificant,negative
german,age,demographic_parity,logistic_regression,outliers,IQR,impute_median_dummy,True,insignificant,negative
german,age,demographic_parity,logistic_regression,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
german,age,demographic_parity,logistic_regression,outliers,IF,impute_mode_dummy,True,insignificant,insignificant
german,age,demographic_parity,logistic_regression,outliers,IF,impute_median_dummy,True,insignificant,insignificant
heart,gender,demographic_parity,logistic_regression,outliers,SD,impute_mean_dummy,True,negative,positive
heart,gender,demographic_parity,logistic_regression,outliers,SD,impute_mode_dummy,True,negative,positive
heart,gender,demographic_parity,logistic_regression,outliers,SD,impute_median_dummy,True,negative,positive
heart,gender,demographic_parity,logistic_regression,outliers,IQR,impute_mean_dummy,True,negative,insignificant
heart,gender,demographic_parity,logistic_regression,outliers,IQR,impute_mode_dummy,True,negative,insignificant
heart,gender,demographic_parity,logistic_regression,outliers,IQR,impute_median_dummy,True,negative,insignificant
heart,gender,demographic_parity,logistic_regression,outliers,IF,impute_mean_dummy,True,negative,positive
heart,gender,demographic_parity,logistic_regression,outliers,IF,impute_mode_dummy,True,negative,positive
heart,gender,demographic_parity,logistic_regression,outliers,IF,impute_median_dummy,True,negative,positive
adult,sex,demographic_parity,knn_classification,outliers,SD,impute_mean_dummy,True,insignificant,positive
adult,sex,demographic_parity,knn_classification,outliers,SD,impute_mode_dummy,True,insignificant,positive
adult,sex,demographic_parity,knn_classification,outliers,SD,impute_median_dummy,True,insignificant,positive
adult,sex,demographic_parity,knn_classification,outliers,IQR,impute_mean_dummy,True,negative,negative
adult,sex,demographic_parity,knn_classification,outliers,IQR,impute_mode_dummy,True,negative,negative
adult,sex,demographic_parity,knn_classification,outliers,IQR,impute_median_dummy,True,negative,negative
adult,sex,demographic_parity,knn_classification,outliers,IF,impute_mean_dummy,True,insignificant,positive
adult,sex,demographic_parity,knn_classification,outliers,IF,impute_mode_dummy,True,insignificant,positive
adult,sex,demographic_parity,knn_classification,outliers,IF,impute_median_dummy,True,insignificant,positive
adult,race,demographic_parity,knn_classification,outliers,SD,impute_mean_dummy,True,insignificant,positive
adult,race,demographic_parity,knn_classification,outliers,SD,impute_mode_dummy,True,insignificant,positive
adult,race,demographic_parity,knn_classification,outliers,SD,impute_median_dummy,True,negative,positive
adult,race,demographic_parity,knn_classification,outliers,IQR,impute_mean_dummy,True,insignificant,negative
adult,race,demographic_parity,knn_classification,outliers,IQR,impute_mode_dummy,True,insignificant,negative
adult,race,demographic_parity,knn_classification,outliers,IQR,impute_median_dummy,True,negative,negative
adult,race,demographic_parity,knn_classification,outliers,IF,impute_mean_dummy,True,insignificant,positive
adult,race,demographic_parity,knn_classification,outliers,IF,impute_mode_dummy,True,insignificant,positive
adult,race,demographic_parity,knn_classification,outliers,IF,impute_median_dummy,True,insignificant,positive
folktables,sex,demographic_parity,knn_classification,outliers,SD,impute_mean_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,knn_classification,outliers,SD,impute_mode_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,knn_classification,outliers,SD,impute_median_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,knn_classification,outliers,IQR,impute_mean_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,knn_classification,outliers,IQR,impute_mode_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,knn_classification,outliers,IQR,impute_median_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,knn_classification,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,knn_classification,outliers,IF,impute_mode_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,knn_classification,outliers,IF,impute_median_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,knn_classification,outliers,SD,impute_mean_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,knn_classification,outliers,SD,impute_mode_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,knn_classification,outliers,SD,impute_median_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,knn_classification,outliers,IQR,impute_mean_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,knn_classification,outliers,IQR,impute_mode_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,knn_classification,outliers,IQR,impute_median_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,knn_classification,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,knn_classification,outliers,IF,impute_mode_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,knn_classification,outliers,IF,impute_median_dummy,True,insignificant,insignificant
credit,age,demographic_parity,knn_classification,outliers,SD,impute_mean_dummy,True,negative,positive
credit,age,demographic_parity,knn_classification,outliers,SD,impute_mode_dummy,True,negative,positive
credit,age,demographic_parity,knn_classification,outliers,SD,impute_median_dummy,True,negative,positive
credit,age,demographic_parity,knn_classification,outliers,IQR,impute_mean_dummy,True,negative,insignificant
credit,age,demographic_parity,knn_classification,outliers,IQR,impute_mode_dummy,True,negative,positive
credit,age,demographic_parity,knn_classification,outliers,IQR,impute_median_dummy,True,negative,insignificant
credit,age,demographic_parity,knn_classification,outliers,IF,impute_mean_dummy,True,negative,positive
credit,age,demographic_parity,knn_classification,outliers,IF,impute_mode_dummy,True,negative,positive
credit,age,demographic_parity,knn_classification,outliers,IF,impute_median_dummy,True,negative,positive
german,age,demographic_parity,knn_classification,outliers,SD,impute_mean_dummy,True,insignificant,negative
german,age,demographic_parity,knn_classification,outliers,SD,impute_mode_dummy,True,positive,negative
german,age,demographic_parity,knn_classification,outliers,SD,impute_median_dummy,True,insignificant,negative
german,age,demographic_parity,knn_classification,outliers,IQR,impute_mean_dummy,True,positive,negative
german,age,demographic_parity,knn_classification,outliers,IQR,impute_mode_dummy,True,positive,negative
german,age,demographic_parity,knn_classification,outliers,IQR,impute_median_dummy,True,positive,negative
german,age,demographic_parity,knn_classification,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
german,age,demographic_parity,knn_classification,outliers,IF,impute_mode_dummy,True,insignificant,negative
german,age,demographic_parity,knn_classification,outliers,IF,impute_median_dummy,True,positive,negative
heart,gender,demographic_parity,knn_classification,outliers,SD,impute_mean_dummy,True,negative,positive
heart,gender,demographic_parity,knn_classification,outliers,SD,impute_mode_dummy,True,negative,positive
heart,gender,demographic_parity,knn_classification,outliers,SD,impute_median_dummy,True,negative,positive
heart,gender,demographic_parity,knn_classification,outliers,IQR,impute_mean_dummy,True,negative,positive
heart,gender,demographic_parity,knn_classification,outliers,IQR,impute_mode_dummy,True,negative,positive
heart,gender,demographic_parity,knn_classification,outliers,IQR,impute_median_dummy,True,negative,positive
heart,gender,demographic_parity,knn_classification,outliers,IF,impute_mean_dummy,True,negative,positive
heart,gender,demographic_parity,knn_classification,outliers,IF,impute_mode_dummy,True,negative,positive
heart,gender,demographic_parity,knn_classification,outliers,IF,impute_median_dummy,True,negative,positive
adult,sex,demographic_parity,XGBoost,outliers,SD,impute_mean_dummy,True,insignificant,negative
adult,sex,demographic_parity,XGBoost,outliers,SD,impute_mode_dummy,True,positive,negative
adult,sex,demographic_parity,XGBoost,outliers,SD,impute_median_dummy,True,positive,negative
adult,sex,demographic_parity,XGBoost,outliers,IQR,impute_mean_dummy,True,insignificant,negative
adult,sex,demographic_parity,XGBoost,outliers,IQR,impute_mode_dummy,True,insignificant,negative
adult,sex,demographic_parity,XGBoost,outliers,IQR,impute_median_dummy,True,insignificant,negative
adult,sex,demographic_parity,XGBoost,outliers,IF,impute_mean_dummy,True,insignificant,negative
adult,sex,demographic_parity,XGBoost,outliers,IF,impute_mode_dummy,True,positive,negative
adult,sex,demographic_parity,XGBoost,outliers,IF,impute_median_dummy,True,positive,negative
adult,race,demographic_parity,XGBoost,outliers,SD,impute_mean_dummy,True,negative,negative
adult,race,demographic_parity,XGBoost,outliers,SD,impute_mode_dummy,True,negative,negative
adult,race,demographic_parity,XGBoost,outliers,SD,impute_median_dummy,True,negative,negative
adult,race,demographic_parity,XGBoost,outliers,IQR,impute_mean_dummy,True,negative,negative
adult,race,demographic_parity,XGBoost,outliers,IQR,impute_mode_dummy,True,negative,negative
adult,race,demographic_parity,XGBoost,outliers,IQR,impute_median_dummy,True,negative,negative
adult,race,demographic_parity,XGBoost,outliers,IF,impute_mean_dummy,True,insignificant,negative
adult,race,demographic_parity,XGBoost,outliers,IF,impute_mode_dummy,True,insignificant,negative
adult,race,demographic_parity,XGBoost,outliers,IF,impute_median_dummy,True,insignificant,negative
folktables,sex,demographic_parity,XGBoost,outliers,SD,impute_mean_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,XGBoost,outliers,SD,impute_mode_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,XGBoost,outliers,SD,impute_median_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,XGBoost,outliers,IQR,impute_mean_dummy,True,positive,negative
folktables,sex,demographic_parity,XGBoost,outliers,IQR,impute_mode_dummy,True,positive,negative
folktables,sex,demographic_parity,XGBoost,outliers,IQR,impute_median_dummy,True,positive,negative
folktables,sex,demographic_parity,XGBoost,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,XGBoost,outliers,IF,impute_mode_dummy,True,insignificant,insignificant
folktables,sex,demographic_parity,XGBoost,outliers,IF,impute_median_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,XGBoost,outliers,SD,impute_mean_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,XGBoost,outliers,SD,impute_mode_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,XGBoost,outliers,SD,impute_median_dummy,True,insignificant,insignificant
folktables,rac1p,demographic_parity,XGBoost,outliers,IQR,impute_mean_dummy,True,negative,negative
folktables,rac1p,demographic_parity,XGBoost,outliers,IQR,impute_mode_dummy,True,negative,negative
folktables,rac1p,demographic_parity,XGBoost,outliers,IQR,impute_median_dummy,True,negative,negative
folktables,rac1p,demographic_parity,XGBoost,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
