dataset,criteria,metric,model,error,detection,repair,test_repaired,fairness_impact,accuracy_impact
adult,sex/race,demographic_parity,logistic_regression,outliers,SD,impute_mean_dummy,True,positive,negative
adult,sex/race,demographic_parity,logistic_regression,outliers,SD,impute_mode_dummy,True,positive,negative
adult,sex/race,demographic_parity,logistic_regression,outliers,SD,impute_median_dummy,True,positive,negative
adult,sex/race,demographic_parity,logistic_regression,outliers,IQR,impute_mean_dummy,True,positive,negative
adult,sex/race,demographic_parity,logistic_regression,outliers,IQR,impute_mode_dummy,True,positive,negative
adult,sex/race,demographic_parity,logistic_regression,outliers,IQR,impute_median_dummy,True,positive,negative
adult,sex/race,demographic_parity,logistic_regression,outliers,IF,impute_mean_dummy,True,positive,negative
adult,sex/race,demographic_parity,logistic_regression,outliers,IF,impute_mode_dummy,True,positive,negative
adult,sex/race,demographic_parity,logistic_regression,outliers,IF,impute_median_dummy,True,positive,negative
folktables,sex/rac1p,demographic_parity,logistic_regression,outliers,SD,impute_mean_dummy,True,insignificant,positive
folktables,sex/rac1p,demographic_parity,logistic_regression,outliers,SD,impute_mode_dummy,True,insignificant,positive
folktables,sex/rac1p,demographic_parity,logistic_regression,outliers,SD,impute_median_dummy,True,insignificant,positive
folktables,sex/rac1p,demographic_parity,logistic_regression,outliers,IQR,impute_mean_dummy,True,positive,negative
folktables,sex/rac1p,demographic_parity,logistic_regression,outliers,IQR,impute_mode_dummy,True,positive,negative
folktables,sex/rac1p,demographic_parity,logistic_regression,outliers,IQR,impute_median_dummy,True,positive,negative
folktables,sex/rac1p,demographic_parity,logistic_regression,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,logistic_regression,outliers,IF,impute_mode_dummy,True,insignificant,positive
folktables,sex/rac1p,demographic_parity,logistic_regression,outliers,IF,impute_median_dummy,True,insignificant,insignificant
heart,gender/age,demographic_parity,logistic_regression,outliers,SD,impute_mean_dummy,True,negative,positive
heart,gender/age,demographic_parity,logistic_regression,outliers,SD,impute_mode_dummy,True,negative,positive
heart,gender/age,demographic_parity,logistic_regression,outliers,SD,impute_median_dummy,True,negative,positive
heart,gender/age,demographic_parity,logistic_regression,outliers,IQR,impute_mean_dummy,True,negative,insignificant
heart,gender/age,demographic_parity,logistic_regression,outliers,IQR,impute_mode_dummy,True,negative,insignificant
heart,gender/age,demographic_parity,logistic_regression,outliers,IQR,impute_median_dummy,True,negative,insignificant
heart,gender/age,demographic_parity,logistic_regression,outliers,IF,impute_mean_dummy,True,negative,positive
heart,gender/age,demographic_parity,logistic_regression,outliers,IF,impute_mode_dummy,True,negative,positive
heart,gender/age,demographic_parity,logistic_regression,outliers,IF,impute_median_dummy,True,negative,positive
german,age/sex,demographic_parity,logistic_regression,outliers,SD,impute_mean_dummy,True,insignificant,insignificant
german,age/sex,demographic_parity,logistic_regression,outliers,SD,impute_mode_dummy,True,insignificant,insignificant
german,age/sex,demographic_parity,logistic_regression,outliers,SD,impute_median_dummy,True,insignificant,insignificant
german,age/sex,demographic_parity,logistic_regression,outliers,IQR,impute_mean_dummy,True,insignificant,negative
german,age/sex,demographic_parity,logistic_regression,outliers,IQR,impute_mode_dummy,True,insignificant,negative
german,age/sex,demographic_parity,logistic_regression,outliers,IQR,impute_median_dummy,True,insignificant,negative
german,age/sex,demographic_parity,logistic_regression,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
german,age/sex,demographic_parity,logistic_regression,outliers,IF,impute_mode_dummy,True,insignificant,insignificant
german,age/sex,demographic_parity,logistic_regression,outliers,IF,impute_median_dummy,True,negative,insignificant
adult,sex/race,demographic_parity,knn_classification,outliers,SD,impute_mean_dummy,True,insignificant,positive
adult,sex/race,demographic_parity,knn_classification,outliers,SD,impute_mode_dummy,True,insignificant,positive
adult,sex/race,demographic_parity,knn_classification,outliers,SD,impute_median_dummy,True,insignificant,positive
adult,sex/race,demographic_parity,knn_classification,outliers,IQR,impute_mean_dummy,True,insignificant,negative
adult,sex/race,demographic_parity,knn_classification,outliers,IQR,impute_mode_dummy,True,negative,negative
adult,sex/race,demographic_parity,knn_classification,outliers,IQR,impute_median_dummy,True,negative,negative
adult,sex/race,demographic_parity,knn_classification,outliers,IF,impute_mean_dummy,True,insignificant,positive
adult,sex/race,demographic_parity,knn_classification,outliers,IF,impute_mode_dummy,True,insignificant,positive
adult,sex/race,demographic_parity,knn_classification,outliers,IF,impute_median_dummy,True,insignificant,positive
folktables,sex/rac1p,demographic_parity,knn_classification,outliers,SD,impute_mean_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,knn_classification,outliers,SD,impute_mode_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,knn_classification,outliers,SD,impute_median_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,knn_classification,outliers,IQR,impute_mean_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,knn_classification,outliers,IQR,impute_mode_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,knn_classification,outliers,IQR,impute_median_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,knn_classification,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,knn_classification,outliers,IF,impute_mode_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,knn_classification,outliers,IF,impute_median_dummy,True,insignificant,insignificant
heart,gender/age,demographic_parity,knn_classification,outliers,SD,impute_mean_dummy,True,negative,positive
heart,gender/age,demographic_parity,knn_classification,outliers,SD,impute_mode_dummy,True,negative,positive
heart,gender/age,demographic_parity,knn_classification,outliers,SD,impute_median_dummy,True,negative,positive
heart,gender/age,demographic_parity,knn_classification,outliers,IQR,impute_mean_dummy,True,negative,positive
heart,gender/age,demographic_parity,knn_classification,outliers,IQR,impute_mode_dummy,True,negative,positive
heart,gender/age,demographic_parity,knn_classification,outliers,IQR,impute_median_dummy,True,negative,positive
heart,gender/age,demographic_parity,knn_classification,outliers,IF,impute_mean_dummy,True,negative,positive
heart,gender/age,demographic_parity,knn_classification,outliers,IF,impute_mode_dummy,True,negative,positive
heart,gender/age,demographic_parity,knn_classification,outliers,IF,impute_median_dummy,True,negative,positive
german,age/sex,demographic_parity,knn_classification,outliers,SD,impute_mean_dummy,True,insignificant,negative
german,age/sex,demographic_parity,knn_classification,outliers,SD,impute_mode_dummy,True,insignificant,negative
german,age/sex,demographic_parity,knn_classification,outliers,SD,impute_median_dummy,True,insignificant,negative
german,age/sex,demographic_parity,knn_classification,outliers,IQR,impute_mean_dummy,True,positive,negative
german,age/sex,demographic_parity,knn_classification,outliers,IQR,impute_mode_dummy,True,positive,negative
german,age/sex,demographic_parity,knn_classification,outliers,IQR,impute_median_dummy,True,positive,negative
german,age/sex,demographic_parity,knn_classification,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
german,age/sex,demographic_parity,knn_classification,outliers,IF,impute_mode_dummy,True,insignificant,negative
german,age/sex,demographic_parity,knn_classification,outliers,IF,impute_median_dummy,True,insignificant,negative
adult,sex/race,demographic_parity,XGBoost,outliers,SD,impute_mean_dummy,True,negative,negative
adult,sex/race,demographic_parity,XGBoost,outliers,SD,impute_mode_dummy,True,insignificant,negative
adult,sex/race,demographic_parity,XGBoost,outliers,SD,impute_median_dummy,True,positive,negative
adult,sex/race,demographic_parity,XGBoost,outliers,IQR,impute_mean_dummy,True,insignificant,negative
adult,sex/race,demographic_parity,XGBoost,outliers,IQR,impute_mode_dummy,True,insignificant,negative
adult,sex/race,demographic_parity,XGBoost,outliers,IQR,impute_median_dummy,True,insignificant,negative
adult,sex/race,demographic_parity,XGBoost,outliers,IF,impute_mean_dummy,True,insignificant,negative
adult,sex/race,demographic_parity,XGBoost,outliers,IF,impute_mode_dummy,True,insignificant,negative
adult,sex/race,demographic_parity,XGBoost,outliers,IF,impute_median_dummy,True,insignificant,negative
folktables,sex/rac1p,demographic_parity,XGBoost,outliers,SD,impute_mean_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,XGBoost,outliers,SD,impute_mode_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,XGBoost,outliers,SD,impute_median_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,XGBoost,outliers,IQR,impute_mean_dummy,True,positive,negative
folktables,sex/rac1p,demographic_parity,XGBoost,outliers,IQR,impute_mode_dummy,True,positive,negative
folktables,sex/rac1p,demographic_parity,XGBoost,outliers,IQR,impute_median_dummy,True,positive,negative
folktables,sex/rac1p,demographic_parity,XGBoost,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,XGBoost,outliers,IF,impute_mode_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,XGBoost,outliers,IF,impute_median_dummy,True,insignificant,insignificant
heart,gender/age,demographic_parity,XGBoost,outliers,SD,impute_mean_dummy,True,negative,negative
heart,gender/age,demographic_parity,XGBoost,outliers,SD,impute_mode_dummy,True,negative,negative
heart,gender/age,demographic_parity,XGBoost,outliers,SD,impute_median_dummy,True,negative,negative
heart,gender/age,demographic_parity,XGBoost,outliers,IQR,impute_mean_dummy,True,negative,negative
heart,gender/age,demographic_parity,XGBoost,outliers,IQR,impute_mode_dummy,True,positive,negative
heart,gender/age,demographic_parity,XGBoost,outliers,IQR,impute_median_dummy,True,positive,negative
heart,gender/age,demographic_parity,XGBoost,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
heart,gender/age,demographic_parity,XGBoost,outliers,IF,impute_mode_dummy,True,positive,negative
heart,gender/age,demographic_parity,XGBoost,outliers,IF,impute_median_dummy,True,positive,negative
german,age/sex,demographic_parity,XGBoost,outliers,SD,impute_mean_dummy,True,insignificant,negative
german,age/sex,demographic_parity,XGBoost,outliers,SD,impute_mode_dummy,True,insignificant,insignificant
german,age/sex,demographic_parity,XGBoost,outliers,SD,impute_median_dummy,True,insignificant,negative
german,age/sex,demographic_parity,XGBoost,outliers,IQR,impute_mean_dummy,True,positive,insignificant
german,age/sex,demographic_parity,XGBoost,outliers,IQR,impute_mode_dummy,True,insignificant,negative
german,age/sex,demographic_parity,XGBoost,outliers,IQR,impute_median_dummy,True,insignificant,negative
german,age/sex,demographic_parity,XGBoost,outliers,IF,impute_mean_dummy,True,insignificant,insignificant
german,age/sex,demographic_parity,XGBoost,outliers,IF,impute_mode_dummy,True,insignificant,negative
german,age/sex,demographic_parity,XGBoost,outliers,IF,impute_median_dummy,True,insignificant,negative
adult,sex/race,demographic_parity,logistic_regression,missing_values,,impute_mean_mode,True,insignificant,positive
adult,sex/race,demographic_parity,logistic_regression,missing_values,,impute_mean_dummy,True,negative,positive
adult,sex/race,demographic_parity,logistic_regression,missing_values,,impute_median_mode,True,insignificant,positive
adult,sex/race,demographic_parity,logistic_regression,missing_values,,impute_median_dummy,True,negative,positive
adult,sex/race,demographic_parity,logistic_regression,missing_values,,impute_mode_mode,True,insignificant,positive
adult,sex/race,demographic_parity,logistic_regression,missing_values,,impute_mode_dummy,True,negative,positive
folktables,sex/rac1p,demographic_parity,logistic_regression,missing_values,,impute_mean_mode,True,negative,positive
folktables,sex/rac1p,demographic_parity,logistic_regression,missing_values,,impute_mean_dummy,True,negative,positive
folktables,sex/rac1p,demographic_parity,logistic_regression,missing_values,,impute_median_mode,True,negative,positive
folktables,sex/rac1p,demographic_parity,logistic_regression,missing_values,,impute_median_dummy,True,negative,positive
folktables,sex/rac1p,demographic_parity,logistic_regression,missing_values,,impute_mode_mode,True,negative,positive
folktables,sex/rac1p,demographic_parity,logistic_regression,missing_values,,impute_mode_dummy,True,negative,positive
german,age/sex,demographic_parity,logistic_regression,missing_values,,impute_mean_mode,True,positive,positive
german,age/sex,demographic_parity,logistic_regression,missing_values,,impute_mean_dummy,True,insignificant,positive
german,age/sex,demographic_parity,logistic_regression,missing_values,,impute_median_mode,True,positive,positive
german,age/sex,demographic_parity,logistic_regression,missing_values,,impute_median_dummy,True,insignificant,positive
german,age/sex,demographic_parity,logistic_regression,missing_values,,impute_mode_mode,True,positive,positive
german,age/sex,demographic_parity,logistic_regression,missing_values,,impute_mode_dummy,True,insignificant,positive
adult,sex/race,demographic_parity,knn_classification,missing_values,,impute_mean_mode,True,insignificant,insignificant
adult,sex/race,demographic_parity,knn_classification,missing_values,,impute_mean_dummy,True,insignificant,insignificant
adult,sex/race,demographic_parity,knn_classification,missing_values,,impute_median_mode,True,insignificant,insignificant
adult,sex/race,demographic_parity,knn_classification,missing_values,,impute_median_dummy,True,insignificant,insignificant
adult,sex/race,demographic_parity,knn_classification,missing_values,,impute_mode_mode,True,insignificant,insignificant
adult,sex/race,demographic_parity,knn_classification,missing_values,,impute_mode_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,knn_classification,missing_values,,impute_mean_mode,True,negative,positive
folktables,sex/rac1p,demographic_parity,knn_classification,missing_values,,impute_mean_dummy,True,negative,positive
folktables,sex/rac1p,demographic_parity,knn_classification,missing_values,,impute_median_mode,True,negative,positive
folktables,sex/rac1p,demographic_parity,knn_classification,missing_values,,impute_median_dummy,True,negative,positive
folktables,sex/rac1p,demographic_parity,knn_classification,missing_values,,impute_mode_mode,True,negative,positive
folktables,sex/rac1p,demographic_parity,knn_classification,missing_values,,impute_mode_dummy,True,negative,positive
german,age/sex,demographic_parity,knn_classification,missing_values,,impute_mean_mode,True,positive,insignificant
german,age/sex,demographic_parity,knn_classification,missing_values,,impute_mean_dummy,True,insignificant,insignificant
